name	in_input_table_1	count_in_input_table_2	status
PK2_BAR_20to200_20240319_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240319_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240320_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240321_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240321_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240322_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240322_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240323_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240313_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240314_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240314_PM_01	TRUE	50	OK
PK2_BAR_5to20_20240315_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240316_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240316_PM_01	TRUE	50	OK
PK2_BAR_5to20_20240321_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240322_AM_01	TRUE	50	OK
PK2_BAR_5to20_20240323_AM_01	TRUE	50	OK
PK2_BAR_5to40_20240318_AM_01	TRUE	50	OK
PK2_BAR_5to40_20240318_PM_01	TRUE	50	OK
PK2_BAR_5to40_20240321_AM_01	TRUE	50	OK
PK2_BAR_5to40_20240322_AM_01	TRUE	50	OK
PK2_BAR_5to40_20240323_AM_01	TRUE	50	OK
PK2_BAR_5to40_20240323_AM_02	TRUE	50	OK
PK2_BIL_10to200_20231008_PM_01	TRUE	50	OK
PK2_BIL_10to20_20231001_AM_01	TRUE	50	OK
PK2_BIL_10to20_20231002_AM_01	TRUE	50	OK
PK2_BIL_10to20_20231002_PM_01	TRUE	50	OK
PK2_BIL_10to20_20231003_AM_01	TRUE	50	OK
PK2_BIL_10to20_20231003_PM_01	TRUE	50	OK
PK2_BIL_10to20_20231004_AM_01	TRUE	50	OK
PK2_BIL_10to20_20231006_AM_01	TRUE	50	OK
PK2_BIL_10to20_20231006_PM_01	TRUE	50	OK
PK2_BIL_10to40_20231001_AM_01	TRUE	50	OK
PK2_BIL_10to40_20231001_AM_02_bottle2	TRUE	50	OK
PK2_BIL_10to40_20231002_AM_01	TRUE	50	OK
PK2_BIL_10to40_20231002_AM_02_CFW	TRUE	50	OK
PK2_BIL_10to40_20231002_PM_01	TRUE	50	OK
PK2_BIL_10to40_20231002_PM_02_CFW	TRUE	30	OK
PK2_BIL_10to40_20231003_AM_01	TRUE	50	OK
PK2_BIL_10to40_20231003_AM_02_CFW	TRUE	50	OK
PK2_BIL_10to40_20231003_PM_01	TRUE	50	OK
PK2_BIL_10to40_20231004_AM_01	TRUE	50	OK
PK2_BIL_10to40_20231004_AM_02_CFW	TRUE	50	OK
PK2_BIL_10to40_20231006_AM_01	TRUE	50	OK
PK2_BIL_10to40_20231006_PM_01	TRUE	50	OK
PK2_BIL_10to40_20231007_AM_01_CFW	TRUE	50	OK
PK2_BIL_10to40_20231008_AM_01_CFW	TRUE	50	OK
PK2_BIL_10to40_20231008_PM_01_CFW	TRUE	50	OK
PK2_BIL_10to40_20231009_AM_01_CFW	TRUE	50	OK
PK2_BIL_150to500_20231002_AM_01	TRUE	50	OK
PK2_BIL_150to500_20231002_PM_01	TRUE	50	OK
PK2_BIL_150to500_20231003_AM_01	TRUE	50	OK
PK2_BIL_150to500_20231006_AM_01	TRUE	50	OK
PK2_BIL_150to500_20231006_PM_01	TRUE	50	OK
PK2_BIL_20to200_20231002_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231002_PM_01	TRUE	50	OK
PK2_BIL_20to200_20231003_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231003_PM_01	TRUE	50	OK
PK2_BIL_20to200_20231004_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231004_AM_02_bottleD1	TRUE	50	OK
PK2_BIL_20to200_20231006_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231006_PM_01	TRUE	50	OK
PK2_BIL_20to200_20231007_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231008_AM_01	TRUE	50	OK
PK2_BIL_20to200_20231008_PM_01	TRUE	50	OK
PK2_BIL_20to200_20231009_AM_01	TRUE	50	OK
PK2_BIL_20to500_20231001_AM_01	TRUE	50	OK
PK2_BIL_5to20_20231008_AM_01	TRUE	50	OK
PK2_BIL_5to20_20231008_PM_01	TRUE	50	OK
PK2_BIL_5to40_20231006_AM_01	TRUE	50	OK
PK2_BIL_5to40_20231006_PM_01	TRUE	50	OK
PK2_BIL_5to40_20231008_AM_01	TRUE	50	OK
PK2_BIL_5to40_20231008_PM_01	TRUE	50	OK
PK2_KRI_10to100_20230802_PM_01	TRUE	50	OK
PK2_KRI_10to100_20230807_AM_01	TRUE	50	OK
PK2_KRI_10to20_20230807_AM_01	TRUE	50	OK
PK2_KRI_10to20_20230808_AM_01	TRUE	50	OK
PK2_KRI_10to20_20230810_AM_01	TRUE	50	OK
PK2_KRI_10to20_20230811_AM_01	TRUE	50	OK
PK2_KRI_10to40_20230801_AM_01	TRUE	50	OK
PK2_KRI_10to40_20230802_AM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230802_PM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230803_AM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230803_PM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230804_AM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230804_PM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230805_AM_01	TRUE	50	OK
PK2_KRI_10to40_20230805_AM_02_CFW	TRUE	50	OK
PK2_KRI_10to40_20230807_AM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230808_AM_01_CFW	TRUE	50	OK
PK2_KRI_10to40_20230810_AM_01_CFW	TRUE	50	OK
PK2_KRI_150to500_20230804_AM_01	TRUE	50	OK
PK2_KRI_150to500_20230804_PM_01	TRUE	50	OK
PK2_KRI_150to500_20230810_AM_01	TRUE	50	OK
PK2_KRI_150to500_20230811_AM_01	TRUE	50	OK
PK2_KRI_150toNON_20230803_PM_01	TRUE	50	OK
PK2_KRI_20to100_20230810_AM_01	TRUE	48	OK
PK2_KRI_20to100_20230811_AM_01	TRUE	50	OK
PK2_KRI_20to100_20230814_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230801_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230801_AM_02	TRUE	50	OK
PK2_KRI_20to200_20230802_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230802_AM_02_TARA	TRUE	50	OK
PK2_KRI_20to200_20230802_PM_01	TRUE	50	OK
PK2_KRI_20to200_20230803_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230804_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230804_PM_01	TRUE	50	OK
PK2_KRI_20to200_20230805_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230807_AM_01	TRUE	50	OK
PK2_KRI_20to200_20230808_AM_01	TRUE	50	OK
PK2_KRI_5to20_20230801_AM_01	TRUE	50	OK
PK2_KRI_5to20_20230802_AM_01_TARA	TRUE	50	OK
PK2_KRI_5to20_20230802_PM_01	TRUE	50	OK
PK2_KRI_5to20_20230803_AM_01	TRUE	50	OK
PK2_KRI_5to20_20230803_PM_01	TRUE	50	OK
PK2_KRI_5to20_20230804_AM_01	TRUE	50	OK
PK2_KRI_5to20_20230804_PM_01	TRUE	50	OK
PK2_KRI_5to20_20230805_AM_01	TRUE	50	OK
PK2_KRI_5to20_20230814_AM_01	TRUE	50	OK
PK2_NAP_10to200_20240415_AM_01	TRUE	50	OK
PK2_NAP_10to200_20240415_PM_01	TRUE	50	OK
PK2_NAP_10to200_20240416_AM_01	TRUE	50	OK
PK2_NAP_10to200_20240416_PM_01	TRUE	50	OK
PK2_NAP_10to200_20240418_AM_01	TRUE	50	OK
PK2_NAP_10to200_20240430_AM_01	TRUE	50	OK
PK2_NAP_10to40_20240415_AM_01	TRUE	50	OK
PK2_NAP_10to40_20240415_PM_01	TRUE	50	OK
PK2_NAP_10to40_20240416_AM_01	TRUE	50	OK
PK2_NAP_10to40_20240416_PM_01	TRUE	50	OK
PK2_NAP_150to500_20240415_AM_01	TRUE	50	OK
PK2_NAP_150to500_20240415_PM_01	TRUE	50	OK
PK2_NAP_150to500_20240416_AM_01	TRUE	49	OK
PK2_NAP_150to500_20240416_PM_01	TRUE	50	OK
PK2_NAP_150to500_20240418_AM_01	TRUE	50	OK
PK2_NAP_150to500_20240429_AM_01	TRUE	50	OK
PK2_NAP_150to500_20240429_PM_01	TRUE	50	OK
PK2_NAP_150to500_20240430_AM_01	TRUE	50	OK
PK2_NAP_150to500_20240430_AM_01_deepclosingnet	TRUE	50	OK
PK2_NAP_150to500_20240501_AM_01	TRUE	50	OK
PK2_NAP_200to2000_20240502_AM_01	TRUE	50	OK
PK2_NAP_200to2000_20240504_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240415_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240415_PM_01	TRUE	50	OK
PK2_NAP_20to200_20240416_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240416_PM_01	TRUE	50	OK
PK2_NAP_20to200_20240429_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240429_PM_01	TRUE	50	OK
PK2_NAP_20to200_20240430_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240501_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240502_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240503_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240503_AM_02	TRUE	50	OK
PK2_NAP_20to200_20240504_AM_01	TRUE	50	OK
PK2_NAP_20to200_20240504_AM_02_CFW	TRUE	50	OK
PK2_NAP_5to20_20240415_AM_01	TRUE	50	OK
PK2_NAP_5to20_20240415_PM_01	TRUE	50	OK
PK2_NAP_5to20_20240416_AM_01	TRUE	50	OK
PK2_NAP_5to20_20240416_PM_01	TRUE	50	OK
PK2_NAP_5to20_20240430_AM_01	TRUE	50	OK
PK2_NAP_5to20_20240501_AM_01	TRUE	50	OK
PK2_NAP_5to20_20240502_AM_01	TRUE	50	OK
PK2_NAP_5to40_20240429_AM_01	TRUE	50	OK
PK2_NAP_5to40_20240429_PM_01	TRUE	50	OK
PK2_NAP_5to40_20240430_AM_01	TRUE	50	OK
PK2_NAP_5to40_20240430_AM_02	TRUE	50	OK
PK2_NAP_5to40_20240501_AM_01	TRUE	50	OK
PK2_POR_10to40_20231022_AM_01_CFW	TRUE	50	OK
PK2_POR_10to40_20231022_PM_01_CFW	TRUE	50	OK
PK2_POR_10to40_20231023_AM_01	TRUE	50	OK
PK2_POR_10to40_20231023_PM_01	TRUE	50	OK
PK2_POR_150to500_20231022_AM_01	TRUE	50	OK
PK2_POR_150to500_20231022_PM_01	TRUE	50	OK
PK2_POR_150to500_20231023_AM_01	TRUE	50	OK
PK2_POR_150to500_20231023_PM_01	TRUE	50	OK
PK2_POR_20to200_20231022_AM_01	TRUE	50	OK
PK2_POR_20to200_20231022_AM_02_CFW	TRUE	50	OK
PK2_POR_20to200_20231022_PM_01	TRUE	50	OK
PK2_POR_20to200_20231023_AM_01	TRUE	50	OK
PK2_POR_20to200_20231023_PM_01	TRUE	50	OK
PK2_POR_5to20_20231023_AM_01	TRUE	50	OK
PK2_POR_5to40_20231023_AM_01	TRUE	50	OK
PK2_POR_5to40_20231023_PM_01	TRUE	50	OK
PK2_TAL_10to100_20230618_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to100_20230619_PM_01	TRUE	1	OK
PK2_TAL_10to100_20230621_AM_01	TRUE	1	OK
PK2_TAL_10to100_20230621_PM_01	TRUE	1	OK
PK2_TAL_10to100_20230622_AM_01	TRUE	1	OK
PK2_TAL_10to100_20230622_AM_02	TRUE	1	OK
PK2_TAL_10to200_20230619_PM_01	TRUE	1	OK
PK2_TAL_10to200_20230620_AM_01	TRUE	1	OK
PK2_TAL_10to200_20230620_PM_01	TRUE	1	OK
PK2_TAL_10to20_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to20_20230619_AM_01	TRUE	1	OK
PK2_TAL_10to20_20230620_AM_01	TRUE	1	OK
PK2_TAL_10to40_20230616_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230616_PM_02_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230616_PM_03_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230617_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230617_AM_02_20xcamera	TRUE	1	OK
